text,label,raw_label,true_label,true_name,pred_label,pred_name,prob_0_负向,prob_1_正向
商家真的很在意备注留言，米饭给的很多，不要辣椒一点辣椒都没放。小黄鱼也没给炸干。就是觉得这次油不太好,1,1,1,正向,0,负向,0.9975603818893433,0.0024396346416324377
不错，就定他们家的1!！！！！！！！,1,1,1,正向,0,负向,0.7902118563652039,0.20978811383247375
除了粉之外，其他的配菜有点老,0,0,0,负向,1,正向,0.23758146166801453,0.7624185681343079
这个鸡排就看不到鸡肉了，量足还行吧,0,0,0,负向,1,正向,0.31413790583610535,0.685862123966217
"没有想象中好吃,没味道,可能,鱼香好吃点",0,1,0,负向,1,正向,0.12840063869953156,0.8715993762016296
还行吧，份量挺大，就是煎饼里的油条都蔫了。整个煎饼被挤成了一坨…,0,0,0,负向,1,正向,0.3505934774875641,0.6494064927101135
送餐速度很快，但南瓜粥馊了还送！,0,0,0,负向,1,正向,0.21973438560962677,0.7802655696868896
速度很快，就是蔬菜沙拉没有酱，也没有筷子和勺,0,0,0,负向,1,正向,0.21532534062862396,0.7846746444702148
2小时到的，不过快递小哥挺辛苦的,0,0,0,负向,1,正向,0.06236560642719269,0.9376344084739685
下雨送的晚了点，煎饼口感不太好了,0,0,0,负向,1,正向,0.2636828124523163,0.7363171577453613
我点的一个扁豆焖面套餐，还单点了一个奶茶，还有一个煎饼，结果只给我了一杯奶茶，套餐的可乐没给我，客服电话还老打不通，送餐师傅也不容易，算了，习惯好评。希望店家能在网页上留下送餐师傅的电话好即时联系。,1,1,1,正向,0,负向,0.9837693572044373,0.01623063161969185
什锦蘑菇有些腻，饭量挺大的…,1,1,1,正向,0,负向,0.910922110080719,0.08907785266637802
"香锅味道与川成元味道相差甚远,无餐具,包装袋也不是川成园的！！",0,0,0,负向,1,正向,0.2527755796909332,0.7472243905067444
味道很好，分量好像比在店吃的少。,0,0,0,负向,1,正向,0.41713449358940125,0.5828655362129211
还不错，就是时间太长了，催单两次，菜味道还不错,0,0,0,负向,1,正向,0.3185390830039978,0.6814609169960022
酸辣土豆丝为何放那么多生姜！,0,0,0,负向,1,正向,0.33075255155563354,0.6692473888397217
说得再好也是虚的，只有自己吃了才知道。,1,1,1,正向,0,负向,0.9716001152992249,0.028399886563420296
肘子肉的很好，素的基本没有菜，只放了酱。送货速度还可以。不到一小时就到了。,1,1,1,正向,0,负向,0.9946891069412231,0.005310966167598963
昨天送的肉丝的大,0,0,0,负向,1,正向,0.11788571625947952,0.8821142911911011
东西挺好，有点儿辣有点儿咸。送餐速度慢哭了。。。。。。,0,0,0,负向,1,正向,0.3635318875312805,0.6364681124687195
饭和丸子是热的，大酱汤冰凉，外卖小哥挺好,0,0,0,负向,1,正向,0.44461044669151306,0.5553895235061646
不到半个小时就送到了，超快,1,1,1,正向,0,负向,0.7043476104736328,0.2956524193286896
"肉卷吃的我有点腻,个人口味的问题吧,皮蛋瘦肉粥不错",1,1,1,正向,0,负向,0.8280999660491943,0.17190007865428925
煲仔饭一如既往的好吃，但是鸡煲味道一般!,0,0,0,负向,1,正向,0.19131819903850555,0.8086817860603333
没有店里的好吃,0,0,0,负向,1,正向,0.3660247325897217,0.6339753270149231
送货人员服务很好，只是点的菜品一般,0,0,0,负向,1,正向,0.2440817654132843,0.7559182643890381
"东西好吃,送餐超级慢,送来都快死了,昨天挺快的今天慢的要死。。。",1,1,1,正向,0,负向,0.9589496850967407,0.0410502590239048
煎饼不适合外卖，时间稍长就软塌了，,1,1,1,正向,0,负向,0.609566330909729,0.3904336988925934
没有放辣椒，吃着不是很爽,1,1,1,正向,0,负向,0.957862377166748,0.04213763400912285
味道一般为什么没有酱……,1,1,1,正向,0,负向,0.9791743159294128,0.020825667306780815
卷很好吃，雞腿就沒什麼入味了，推薦到店裡面吃吧，送餐太慢了，如果是生意太好配送有困難，建議之後取消配送服務，別送了。,0,0,0,负向,1,正向,0.10165483504533768,0.8983451724052429
味道一般，但是服务和饭菜质量很好！,1,1,1,正向,0,负向,0.9493598341941833,0.05064016580581665
酱太多了，口味太重,1,1,1,正向,0,负向,0.8140653371810913,0.1859346330165863
外卖员不进园区,0,0,0,负向,1,正向,0.4871865510940552,0.5128133893013
送外卖的小哥不认路啊，等的有点久啊,1,1,1,正向,0,负向,0.5628599524497986,0.4371400773525238
很快，而且送了番茄酱和纸巾,1,1,1,正向,0,负向,0.5150769352912903,0.4849230945110321
第一次用感觉太差了，比在店里吃少了一半的量,0,0,0,负向,1,正向,0.45205169916152954,0.5479483604431152
今天送餐小哥说第一次上班，本来挺生气的，后来也慢慢消去了，人家也一直赔礼道歉的，也就无所谓了，下午收到公司短信，说由于餐未按时送到，退我50%订单款作为补偿，心头顿时感觉暖暖哒，现如今只有这样的服务才能吸引人哈，但是想到那个第一天上班的送餐小哥，也挺不容易哒！,0,0,0,负向,1,正向,0.29029780626296997,0.7097022533416748
"你家不看备注的吗？我说了装两个袋,帮别人买的,还用一个袋,我怎么拿啊",1,1,1,正向,0,负向,0.9933694005012512,0.006630617659538984
不说别的这次速度满分，希望加大量吧。,1,1,1,正向,0,负向,0.733790397644043,0.26620960235595703
送餐小伙子可贴心了，还帮我妈把垃圾随手带下楼了，超级赞！,1,1,1,正向,0,负向,0.9372790455818176,0.06272091716527939
稍微有点咸了,0,0,0,负向,1,正向,0.14778710901737213,0.8522129058837891
还行，就是速度好慢，一个多小时,1,1,1,正向,0,负向,0.9353367686271667,0.06466323137283325
看来以后订他们家的午餐应该从9点开始才行呀,0,0,0,负向,1,正向,0.40378206968307495,0.596217930316925
排骨豆角沾卷子超乎想象的好吃！大晚上吃了一份根本停不下来！排骨很新鲜，量很大。,1,1,1,正向,0,负向,0.9807713627815247,0.019228676334023476
从包装到味道总体还可以，就是小菜不怎么好吃，木耳还凑合，辣白菜根本不是那味儿！所以小菜再弄好点的话，还会多多支持！,0,0,0,负向,1,正向,0.35046201944351196,0.649537980556488
速度很快，送了蘸酱，但是上次电话订餐没有送。孩子喜欢吃马盏糕和小笼包,1,1,1,正向,0,负向,0.8555044531822205,0.14449557662010193
送达晚了些，但是送了一瓶饮料，心情舒缓了些，好评,1,1,1,正向,0,负向,0.7622615694999695,0.2377384454011917
牛蛙就三块.真的,0,0,0,负向,1,正向,0.2680624723434448,0.7319375276565552
还好，就是送的有点慢，饼都没有嚼劲了。,1,1,1,正向,0,负向,0.5525397062301636,0.4474602937698364
卷饼看着很小但是很占肚子很好吃,1,1,1,正向,0,负向,0.528968095779419,0.47103193402290344
别的都很好，就是汤洒了。。。,0,0,0,负向,1,正向,0.0453944057226181,0.9546055793762207
比别家鸡排小,1,1,1,正向,0,负向,0.5251997709274292,0.4748002290725708
梅菜好多，海带味道怪怪的,0,0,0,负向,1,正向,0.3373984098434448,0.6626015901565552
下雨天送的有点晚了，饿了吃饭很香,0,0,0,负向,1,正向,0.11894173175096512,0.8810582756996155
河粉量很大，配汤略咸,0,0,0,负向,1,正向,0.24637815356254578,0.7536218166351318
送错了，送成盖饭了。。,0,0,0,负向,1,正向,0.43064162135124207,0.5693584084510803
肥牛有点硬,0,0,0,负向,1,正向,0.14813879132270813,0.8518612384796143
3个小时……,1,1,1,正向,0,负向,0.8707372546195984,0.12926273047924042
"包装很漂亮,可惜味道偏甜不合口味",1,1,1,正向,0,负向,0.5220152139663696,0.47798481583595276
大盘鸡没面,0,0,0,负向,1,正向,0.3826352059841156,0.617364764213562
"有点凉了,煎饼不热乎就好吃了,不过能在这雨夹雪的夜晚在屋里等待晚餐也是很爽的一件事儿",1,1,1,正向,0,负向,0.9709821343421936,0.029017815366387367
味道一般。没有想象的好吃。,1,1,1,正向,0,负向,0.9414049386978149,0.058595120906829834
盖子盖不好，送来的时候都洒了，咖啡品质越做越差。谢谢师傅大冷天的配送。这家星巴克店都对不起师傅这么辛苦的跑腿儿。,0,0,0,负向,1,正向,0.2130221724510193,0.7869777679443359
排骨饭油腻的很,0,0,0,负向,1,正向,0.13163501024246216,0.8683649897575378
"为何没有发票,为何不开发票",1,1,1,正向,0,负向,0.9839264750480652,0.01607351191341877
还行，豆腐脑味道不行,1,1,1,正向,0,负向,0.7579141855239868,0.2420857548713684
味道还不错，就是菜品制作下一步就订单完成可以评价。。有点。。,0,0,0,负向,1,正向,0.26479867100715637,0.735201358795166
快递员挺好，速度挺快,0,0,0,负向,1,正向,0.05361423268914223,0.9463857412338257
蟑螂还成对儿的啊,0,0,0,负向,1,正向,0.20805567502975464,0.7919442653656006
不错，服务很好,0,0,0,负向,1,正向,0.011510955169796944,0.9884890913963318
感谢送餐员大下雨就来,0,0,0,负向,1,正向,0.029480937868356705,0.9705190658569336
为什么圣代没有勺子？,1,1,1,正向,0,负向,0.9843568205833435,0.015643233433365822
京酱肉丝太咸了,1,1,1,正向,0,负向,0.6676777005195618,0.3323223292827606
我说辣一点是在凉面里。卷饼里的全部都是辣椒超级啦只有两片都是肥肉。啦的我喷火其他还好啦。吃了你家很多次了怎么能这样伤人心啊,1,1,1,正向,0,负向,0.9930744171142578,0.006925567053258419
